NUMBER,SEX,COND,ORDER,EXP,HABIT,HABTRIAL,HABTOT,HM12,  HM11,HM10,HM9,HM8,HM7,HM6,HM5,HM4,HM3,HM2,HM1,N1C,N2C,F1C,F2C,NAVG,  FAVG,NPREF,LOGN1C,LOGN2C,LOGF1C,LOGF2C,LOGNAVG,LOGFAVG
VM5_006,F,ABA,NF,1,YES,5,141369,0,0,0,0,0,0,0,91051,29865,8727,7854,3872,13007,25482,4089,4458,19244.5,4273.5,0.818288147,4.114177227,4.406233311,3.611617088,3.64914012,4.284306526,3.630783796
VM5_008,M,ABA,NF,1,YES,5,85152,0,0,0,0,0,0,0,52527,9330,8222,11189,3884,12537,14328,6668,4400,13432.5,5534,0.708222389,4.098193645,4.156185627,3.82399559,3.643452644,4.128156662,3.743039131
VM5_011,F,ABA,NF,1,YES,5,178252,0,0,0,0,0,0,0,90384,51748,17057,17680,1383,5288,9157,859,4685,7222.5,2772,0.722647429,3.723291397,3.96175313,2.933993101,3.67070961,3.858687639,3.442793131
VM5_012,F,ABA,NF,1,YES,12,151071,32314,9489,8409,17174,12270,12659,11642,12809,8846,8933,7677,8849,12610,4190,4041,6861,8400,5451,0.606454432,4.10071516,3.622214079,3.606488943,3.836387396,3.924279213,3.736476183
VM5_17,M,ABA,NF,1,YES,7,134847,0,0,0,0,0,30465,39146,34258,11285,3864,8361,7468,13586,2970,21047,12189,8278,16618,0.3325032,4.13309145,3.472756386,4.323190212,4.085968018,3.917925358,4.220578671
VM5_18,M,ABA,NF,1,YES,5,164648,0,0,0,0,0,0,0,90912,52815,8576,8112,4233,24692,17327,8082,4090,21009.5,6086,0.775387049,4.39255619,4.238723278,3.907518864,3.611723423,4.322415829,3.784332037
VM5_015,F,ABB,FF,1,YES,5,99032,0,0,0,0,0,0,0,60968,13118,8286,8513,8147,12602,6576,13485,8098,9589,10791.5,0.47049877,4.100439548,3.817961693,4.129850864,3.908377886,3.981773376,4.033082008
VM5_24,F,ABB,FF,1,YES,5,69459,0,0,0,0,0,0,0,39800,13369,8276,3936,4078,7356,19654,11315,3915,13505,7615,0.639441311,3.86664176,4.293450832,4.053654671,3.592731714,4.130494595,3.881669998
VM5_23,F,ABB,FF,1,YES,6,222614,0,0,0,0,0,0,92826,82080,16512,8618,11367,11211,41623,16344,18197,27122,28983.5,22659.5,0.561228037,4.619333267,4.213358402,4.259999752,4.433321476,4.462151051,4.355250359
VM5_25,F,ABB,FF,1,YES,5,164332,0,0,0,0,0,0,0,92733,21073,16795,25773,7958,34431,14678,9480,17602,24554.5,13541,0.644551218,4.536949635,4.166666985,3.97680831,4.245562077,4.390130997,4.131650925
VM5_26,F,ABB,FF,1,YES,5,145664,0,0,0,0,0,0,0,90930,8083,12883,16389,17379,12281,8999,11936,8050,10640,9993,0.515678763,4.089233875,3.954194307,4.076858997,3.905795813,4.026941776,3.999695778
VM5_32,F,ABB,FF,1,YES,6,209276,0,0,0,0,0,0,90799,64112,7901,26233,16212,4019,12327,7759,24304,16595,10043,20449.5,0.32935968,4.090857506,3.889805794,4.385677814,4.219977379,4.00186348,4.310682774
